barrio;inicial;priminc;primcomp;secinc;seccomp;terinc;tercomp;univinc;univcomp;posinc;poscomp;sabeleer;nosabeleer;cobertura;nocobertura;ocupados;desocupados;inactivos;nbi1;nbi2;nbi3;nbi4;nbi5;sinpriv;privpat;privrec;privconv;casa;rancho;casilla;departamento;piezaolocal;uno;dos;tres;cuatro;cinco;seis;siete;ochoomas
Villa Azalais Anexo;0.075471698;0.396226415;0.320754717;0.150943396;0.018867925;0.018867925;0.018867925;0;0;0;0;1.060185185;0.106481481;0.166666667;0.833333333;0.487012987;0.051948052;0.461038961;0.268115942;0;0;0;0.076086957;0.760869565;0.02173913;0.206521739;0.010869565;1;0;0;0;0;0.052631579;0.140350877;0.157894737;0.210526316;0.070175439;0.122807018;0.087719298;0.157894737
Villa Azalais Oeste;0.028169014;0.10915493;0.35915493;0.179577465;0.183098592;0.014084507;0.038732394;0.052816901;0.031690141;0.003521127;0;0.973460722;0.021231423;0.590080972;0.409919028;0.547019868;0.068874172;0.38410596;0.079959514;0.013157895;0.061740891;0;0;0.859311741;0.094129555;0.041497976;0.005060729;0.885017422;0;0;0.101045296;0.013937282;0.132404181;0.219512195;0.202090592;0.195121951;0.12195122;0.073170732;0.038327526;0.017421603
Villa Belgrano;0.020422056;0.025187202;0.05377808;0.063989108;0.120490129;0.031994554;0.092579986;0.140912185;0.356024506;0.020422056;0.074200136;0.977111287;0.012233623;0.894675926;0.105324074;0.628349788;0.023272214;0.348377997;0.013695988;0.000385802;0.000578704;0;0.003472222;0.947337963;0.030285494;0.012731481;0.00308642;0.941331575;0.001318392;0.000659196;0.056031641;0.000659196;0.108767304;0.22808174;0.209624258;0.206987475;0.152933421;0.064601187;0.021753461;0.007251154
Villa Bustos;0.026726058;0.171492205;0.307349666;0.307349666;0.122494432;0.0155902;0.022271715;0.017817372;0.008908686;0;0;0.950829045;0.036020583;0.504118616;0.495881384;0.545875096;0.055512722;0.398612182;0.161449753;0.002745744;0.017023613;0;0.006589786;0.857221307;0.103239978;0.036792971;0.002745744;0.886462882;0;0;0.111353712;0.002183406;0.1069869;0.152838428;0.187772926;0.187772926;0.165938865;0.082969432;0.065502183;0.050218341
Villa Cabrera;0.005515486;0.036911328;0.104369962;0.126431905;0.193042003;0.046669495;0.110309716;0.167161646;0.175647009;0.010182435;0.023759016;0.991116557;0.012865676;0.852599028;0.147400972;0.586366881;0.027301927;0.386331192;0.004712119;0.002208806;0.000736269;0.001030776;0;0.938742453;0.022677073;0.016050655;0.002061552;0.840756303;0;0.000420168;0.156722689;0.00210084;0.193697479;0.29789916;0.216386555;0.166806723;0.080252101;0.027731092;0.016386555;0.000840336
Villa Centenario;0;0.022511848;0.066350711;0.071090047;0.186018957;0.039099526;0.120853081;0.133886256;0.313981043;0.007109005;0.039099526;0.975770021;0.013141684;0.913341395;0.086658605;0.599811676;0.032956685;0.367231638;0.003224506;0.004836759;0;0;0;0.955663039;0.02579605;0.015719468;0.002821443;0.893192488;0;0;0.096244131;0.01056338;0.188967136;0.269953052;0.211267606;0.17370892;0.100938967;0.039906103;0.011737089;0.003521127
Villa Claret;0.020833333;0.055555556;0.180555556;0.180555556;0.090277778;0.027777778;0.069444444;0.138888889;0.215277778;0;0.020833333;0.965765766;0.021621622;0.761904762;0.238095238;0.638202247;0.049438202;0.312359551;0.007054674;0;0.007054674;0;0;0.938271605;0.040564374;0.008818342;0.012345679;0.98;0;0;0.02;0;0.033333333;0.16;0.253333333;0.26;0.18;0.066666667;0.046666667;0
Villa Claudina;0.056179775;0.247191011;0.247191011;0.269662921;0.123595506;0;0.033707865;0.02247191;0;0;0;0.950819672;0.026229508;0.685064935;0.314935065;0.595238095;0.031746032;0.373015873;0.175324675;0.025974026;0;0;0.006493506;0.941558442;0.048701299;0.00974026;0;0.95505618;0;0;0.011235955;0.033707865;0.134831461;0.179775281;0.280898876;0.168539326;0.112359551;0.033707865;0.056179775;0.033707865
Villa Corina;0.022924901;0.120948617;0.289328063;0.256126482;0.16284585;0.024505929;0.040316206;0.052173913;0.027667984;0.001581028;0.001581028;0.969682836;0.023554104;0.643611049;0.356388951;0.558618688;0.048752176;0.392629135;0.071412531;0;0.007635302;0;0.004266786;0.918257355;0.044688974;0.025825286;0.008758141;0.865384615;0.000769231;0;0.133846154;0;0.163076923;0.202307692;0.194615385;0.19;0.115384615;0.06;0.048461538;0.026153846
Villa Cornu;0.028199566;0.125813449;0.271149675;0.265726681;0.189804772;0.029284165;0.02494577;0.041214751;0.021691974;0.001084599;0.001084599;0.9757004;0.037449971;0.4849774;0.5150226;0.60496614;0.04702784;0.34800602;0.101568732;0.011699016;0.004520074;0;0.018612071;0.814676948;0.115394842;0.062749269;0.007178942;0.907853403;0.005235602;0.003141361;0.072251309;0.011518325;0.098429319;0.138219895;0.184293194;0.242931937;0.151832461;0.087958115;0.058638743;0.037696335
Villa Coronel Olmedo;0.029126214;0.15631068;0.365048544;0.222330097;0.157281553;0.018446602;0.02038835;0.023300971;0.006796117;0;0.000970874;0.961321287;0.032185206;0.623278423;0.376721577;0.573566085;0.052369077;0.374064838;0.061031596;0.002700513;0.011342155;0.001890359;0.003240616;0.887118553;0.069403187;0.031055901;0.01242236;0.89658444;0;0.000948767;0.099620493;0.0028463;0.133776091;0.166982922;0.217267552;0.204933586;0.14516129;0.075901328;0.055028463;0.000948767
Villa El Libertador;0.040577225;0.203743392;0.314473496;0.269467067;0.115159308;0.014573511;0.015002143;0.020002858;0.006858123;0;0.000142878;0.97508553;0.040289797;0.45201331;0.54798669;0.552083333;0.059010417;0.38890625;0.159083262;0.013160354;0.020862153;3.73874E-05;0.013833327;0.768646951;0.16024227;0.042285116;0.028825663;0.86726263;0.004876067;0.003521604;0.110117838;0.014221861;0.187728566;0.152918868;0.171881349;0.180820805;0.122714344;0.085060274;0.067858594;0.031017202
Villa Esquiu;0.028673835;0.186379928;0.308243728;0.204301075;0.136200717;0.028673835;0.010752688;0.050179211;0.046594982;0;0;0.947791165;0.06124498;0.594312796;0.405687204;0.616966581;0.024421594;0.358611825;0.092890995;0.027488152;0.018957346;0;0;0.801895735;0.142180095;0.046445498;0.009478673;0.940559441;0.031468531;0.01048951;0;0.017482517;0.062937063;0.185314685;0.223776224;0.251748252;0.153846154;0.055944056;0.062937063;0.003496503
Villa Eucarística;0.004761905;0.061904762;0.09047619;0.104761905;0.138095238;0.038095238;0.080952381;0.157142857;0.242857143;0.004761905;0.076190476;0.957040573;0.015513126;0.876033058;0.123966942;0.6544;0.0128;0.3328;0.043683589;0;0;0;0;0.963400236;0.025974026;0.0094451;0.001180638;0.976415094;0.009433962;0;0.014150943;0;0.070754717;0.16509434;0.150943396;0.245283019;0.198113208;0.094339623;0.037735849;0.037735849
Villa General Urquiza;0.040685225;0.255531763;0.336902213;0.232690935;0.095645967;0.005710207;0.012847966;0.014989293;0.004996431;0;0;0.926361498;0.053193414;0.360186303;0.639813697;0.625586565;0.052605582;0.321807854;0.205106089;0.016732793;0.036053131;0;0.01656029;0.646368811;0.307055373;0.022425392;0.024150423;0.902015288;0.014593468;0.004169562;0.064628214;0.014593468;0.097984712;0.154968728;0.18276581;0.20847811;0.141070188;0.102154274;0.061848506;0.050729673
Villa Gran Parque;0.02739726;0.171232877;0.287671233;0.178082192;0.116438356;0.054794521;0.068493151;0.047945205;0.04109589;0.006849315;0;0.978303748;0.033530572;0.556586271;0.443413729;0.617073171;0.017073171;0.365853659;0.107606679;0.00742115;0.040816327;0;0.003710575;0.80890538;0.131725417;0.035250464;0.024118738;0.986486486;0;0.006756757;0.006756757;0;0.101351351;0.209459459;0.202702703;0.162162162;0.155405405;0.094594595;0.074324324;0
Villa La Merced;0.061611374;0.308056872;0.36492891;0.18957346;0.061611374;0.014218009;0;0;0;0;0;0.951456311;0.067961165;0.470878578;0.529121422;0.56231003;0.044072948;0.393617021;0.257650543;0;0.036525173;0;0.03751234;0.65745311;0.257650543;0.048371175;0.036525173;0.995348837;0;0;0.004651163;0;0.088372093;0.088372093;0.144186047;0.181395349;0.134883721;0.158139535;0.120930233;0.08372093
Villa Mafekin;0.023853211;0.176146789;0.282568807;0.203669725;0.150458716;0.014678899;0.051376147;0.062385321;0.031192661;0;0.003669725;0.948533196;0.030365414;0.611083622;0.388916378;0.591123067;0.041022192;0.367854741;0.120237506;0.00544285;0.017812964;0;0.006432459;0.746165265;0.21523998;0.022266205;0.01632855;0.931777379;0.003590664;0.007181329;0.055655296;0.001795332;0.118491921;0.18491921;0.197486535;0.211849192;0.140035907;0.053859964;0.082585278;0.010771993
Villa Marta;0.006097561;0.033536585;0.134146341;0.137195122;0.182926829;0.048780488;0.118902439;0.161585366;0.137195122;0.018292683;0.021341463;0.97406639;0.012448133;0.827479339;0.172520661;0.598321343;0.038369305;0.363309353;0.008264463;0;0;0;0;0.980371901;0.015495868;0.004132231;0;0.939393939;0;0;0.060606061;0;0.166666667;0.263636364;0.23030303;0.209090909;0.084848485;0.03030303;0.015151515;0
Villa Martínez;0.149855908;0.198847262;0.365994236;0.193083573;0.066282421;0.008645533;0.005763689;0.005763689;0.005763689;0;0;0.985522599;0.05579096;0.303805564;0.696194436;0.550189394;0.057765152;0.392045455;0.272145827;0.027822194;0.026862808;0;0.013431404;0.520626799;0.385033579;0.02398465;0.070354973;0.96361186;0.010781671;0.010781671;0.004043127;0.010781671;0.087601078;0.138814016;0.194070081;0.168463612;0.167115903;0.099730458;0.122641509;0.021563342
Villa Paez;0.021919879;0.13303099;0.258503401;0.256235828;0.199546485;0.022675737;0.034769463;0.049886621;0.018896447;0.003023432;0.001511716;0.962865304;0.030323006;0.552;0.448;0.58592881;0.054505006;0.359566185;0.066736842;0.021473684;0.005473684;0;0.001684211;0.891789474;0.066315789;0.034105263;0.007789474;0.877777778;0.002222222;0.000740741;0.093333333;0.025925926;0.145185185;0.200740741;0.187407407;0.196296296;0.120740741;0.07037037;0.06;0.019259259
Villa Quisquizacate;0.002325581;0.062790698;0.148837209;0.127906977;0.179069767;0.058139535;0.079069767;0.137209302;0.176744186;0.006976744;0.020930233;0.986477785;0.028976175;0.720121951;0.279878049;0.651757188;0.032747604;0.315495208;0.064634146;0.001219512;0.00304878;0;0.004878049;0.882926829;0.06402439;0.017073171;0.004878049;0.928240741;0.002314815;0;0.064814815;0.00462963;0.101851852;0.171296296;0.185185185;0.236111111;0.173611111;0.081018519;0.039351852;0.011574074
Villa Retiro;0.033783784;0.209459459;0.256756757;0.182432432;0.121621622;0.027027027;0.033783784;0.081081081;0.047297297;0;0.006756757;0.933572711;0.032315978;0.525394046;0.474605954;0.615571776;0.03406326;0.350364964;0.101576182;0;0.012259194;0;0;0.795096322;0.180385289;0.024518389;0;0.986666667;0.006666667;0;0.006666667;0;0.1;0.146666667;0.2;0.226666667;0.16;0.113333333;0.02;0.033333333
Villa Revol;0.015718563;0.108532934;0.184131737;0.211077844;0.163922156;0.033682635;0.059131737;0.112275449;0.093562874;0.004491018;0.013473054;0.978229318;0.024915336;0.682317911;0.317682089;0.563433929;0.060650454;0.375915617;0.059780119;0.023133303;0.000687128;0;0.001832341;0.872194228;0.074667888;0.043289052;0.005038937;0.777859779;0.006642066;0.007380074;0.189667897;0.018450185;0.15202952;0.246494465;0.216236162;0.177121771;0.10701107;0.059778598;0.028782288;0.012546125
Villa Revol Anexo;0.045643154;0.10373444;0.244813278;0.228215768;0.178423237;0.033195021;0.029045643;0.070539419;0.045643154;0.004149378;0.01659751;0.971758665;0.051347882;0.531839623;0.468160377;0.583333333;0.064102564;0.352564103;0.119103774;0.093160377;0.009433962;0;0.023584906;0.635613208;0.283018868;0.055424528;0.025943396;0.605577689;0.059760956;0.06374502;0.243027888;0.027888446;0.155378486;0.22310757;0.187250996;0.175298805;0.119521912;0.059760956;0.079681275;0
